char number:61
10	16	8	10000110
32	699	3	111
34	20	8	11000011
39	26	8	11011111
40	4	10	1000010101
41	4	10	1001101000
44	41	7	1101100
45	19	8	10011011
46	36	7	1100000
48	5	10	1100001001
49	5	10	1100001010
50	6	10	1101101100
51	1	12	100110101100
54	1	12	100110101101
55	1	12	100110101110
56	1	12	100110101111
58	2	11	10000101001
65	3	11	11011011010
66	3	11	11011011011
67	2	11	10011010010
68	1	12	110000100000
70	3	11	11011011100
71	1	12	110000100001
72	2	11	10011010011
73	11	9	110110101
76	1	12	110000100010
77	1	12	110000100011
78	1	11	10000101000
79	3	11	11011011101
80	5	10	1100001011
83	2	11	10011010100
84	16	8	10000111
87	2	11	10011010101
89	3	11	11011011110
90	8	9	100001011
97	244	4	0110
98	50	7	1101110
99	136	5	10010
100	105	5	00011
101	443	3	001
102	80	6	110001
103	74	6	100111
104	135	5	10001
105	235	4	0101
106	5	10	1101101000
107	25	8	11011110
108	117	5	01001
109	104	5	00010
110	248	4	0111
111	294	4	1010
112	80	6	110010
113	3	11	11011011111
114	185	5	11010
115	190	4	0000
116	304	4	1011
117	108	5	01000
118	33	7	1001100
119	60	6	100000
120	14	8	10000100
121	83	6	110011
122	5	10	1101101001
